name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-02-13,28.2,17.0,22.4,28.1,17.0,22.4,15.1,66.8,0.0,0,0.0,,0,0,29.5,17.9,89.5,1014.8,39.6,5.9,271.3,23.4,10,10.0,2022-02-13T06:42:58,2022-02-13T18:24:56,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-14,28.0,16.0,22.5,27.4,16.0,22.3,13.6,61.9,0.0,0,0.0,,0,0,23.8,18.0,82.4,1014.5,29.6,6.5,250.3,21.6,9,10.0,2022-02-14T06:42:36,2022-02-14T18:25:14,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-15,28.9,17.9,22.8,28.2,17.9,22.8,15.2,66.0,0.0,0,0.0,,0,0,30.6,18.3,93.9,1014.4,41.8,6.3,245.1,21.3,9,10.0,2022-02-15T06:42:14,2022-02-15T18:25:31,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-16,28.9,17.0,22.3,28.1,17.0,22.2,13.9,63.5,0.0,0,0.0,,0,0,31.7,20.2,95.8,1012.8,42.6,5.4,252.1,21.8,9,10.0,2022-02-16T06:41:51,2022-02-16T18:25:48,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-17,29.9,16.9,23.1,28.6,16.9,22.8,12.6,58.1,0.0,0,0.0,,0,0,38.2,20.3,95.9,1011.9,35.9,5.9,267.6,23.0,9,10.0,2022-02-17T06:41:27,2022-02-17T18:26:03,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-18,29.2,15.9,22.4,28.3,15.9,22.2,13.9,62.9,0.0,0,0.0,,0,0,33.8,18.5,90.5,1013.6,36.4,6.6,278.2,24.0,10,10.0,2022-02-18T06:41:02,2022-02-18T18:26:19,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-19,29.6,15.9,22.5,28.5,15.9,22.3,14.0,63.3,0.0,0,0.0,,0,0,33.5,16.3,88.2,1015.8,28.7,6.0,287.7,24.7,10,10.0,2022-02-19T06:40:37,2022-02-19T18:26:34,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-20,31.9,16.9,24.0,29.9,16.9,23.5,11.4,52.3,0.0,0,0.0,,0,0,22.7,11.0,24.5,1015.2,17.2,6.0,288.6,25.0,10,10.0,2022-02-20T06:40:11,2022-02-20T18:26:48,0.63,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-21,32.9,16.0,24.6,31.3,16.0,24.1,12.6,52.5,0.0,0,0.0,,0,0,22.0,10.3,15.7,1013.8,26.0,6.5,288.1,24.8,10,10.0,2022-02-21T06:39:43,2022-02-21T18:27:02,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-22,31.0,19.0,24.9,30.2,19.0,24.8,15.3,57.6,0.0,0,0.0,,0,0,30.6,18.2,105.1,1014.8,34.2,5.8,250.5,21.8,8,10.0,2022-02-22T06:39:15,2022-02-22T18:27:15,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
